Recording Title|Recording Artist|Work Title|Songwriter
Yesterday|The Beatles|Yesterday|Paul McCartney
BOHEMIAN RHAPSODY|Queen|Bohemian Rhapsody|Freddie Mercury
Stairway To Heaven|Led Zeppelin|Stairway to Heaven|Jimmy Page, Robert Plant
Hotel California (Live)|Eagles|Hotel California|Don Henley, Glenn Frey
Imagine|John Lennon|Imagine|John Lennon
Hey Jude - Remastered|The Beatles|Hey Jude|Lennon-McCartney
Let It Be|Beatles|Let It Be|Paul McCartney
comfortably numb|Pink Floyd|Comfortably Numb|Roger Waters
Sweet Child O' Mine|Guns N Roses|Sweet Child O Mine|Axl Rose
Smells Like Teen Spirit|Nirvana|Smells Like Teen Spirit|Kurt Cobain
Billie Jean - Single Version|Michael Jackson|Billie Jean|M. Jackson
Like A Prayer|Madonna|Like a Prayer|Madonna, Patrick Leonard
Purple Rain|Prince & The Revolution|Purple Rain|Prince
I Will Always Love You|Whitney Houston|I Will Always Love You|Dolly Parton
Thriller|Michael Jackson|Thriller|Rod Temperton
Beat It|MJ|Beat It|Michael Jackson
Dancing Queen|ABBA|Dancing Queen|Benny Andersson, Bjorn Ulvaeus
Wannabe|Spice Girls|Wannabe|Spice Girls
Shape Of You|Ed Sheeran|Shape of You|E. Sheeran
Uptown Funk (feat. Bruno Mars)|Mark Ronson|Uptown Funk|Bruno Mars, Mark Ronson
Respect|Aretha Franklin|Respect|Otis Redding
Superstition|Stevie Wonder|Superstition|S. Wonder
What's Going On|Marvin Gaye|Whats Going On|Marvin Gaye
I Heard It Through The Grapevine|Marvin Gaye|I Heard It Through the Grapevine|N. Whitfield
Ain't No Mountain High Enough|Diana Ross|Aint No Mountain High Enough|Ashford & Simpson
Jolene|Dolly Parton|Jolene|D. Parton
Ring Of Fire|Johnny Cash|Ring of Fire|June Carter
Take Me Home, Country Roads|John Denver|Take Me Home Country Roads|John Denver
Friends In Low Places|Garth Brooks|Friends in Low Places|Garth Brooks
Crazy|Patsy Cline|Crazy|Willie Nelson
Lose Yourself|Eminem|Lose Yourself|Eminem, Jeff Bass
Juicy|Notorious B.I.G.|Juicy|Christopher Wallace
California Love|2Pac ft. Dr. Dre|California Love|Tupac Shakur
Empire State Of Mind|Jay-Z ft. Alicia Keys|Empire State of Mind|Shawn Carter
Hotline Bling|Drake|Hotline Bling|Aubrey Graham
Around The World|Daft Punk|Around the World|Thomas Bangalter
Sandstorm|Darude|Sandstorm|Ville Virtanen
Levels|Avicii|Levels|Tim Bergling
